Time,sim_label,seed,t_stop,Ts,nT,nu,ny,n,params_A_1_1,params_A_2_1,params_A_1_2,params_A_2_2,params_B_1_1,params_B_2_1,params_B_1_2,params_B_2_2,params_C_1,params_C_2,params_D_1,params_D_2,obs_1,obs_2,obs_3,epsilon,sigma_M,sigma_wp_1,sigma_wp_2,KF1_P0_1_1,KF1_P0_2_1,KF1_P0_1_2,KF1_P0_2_2,KF1_Q_1_1,KF1_Q_2_1,KF1_Q_1_2,KF1_Q_2_2,KF1_R,KF2_P0_1_1,KF2_P0_2_1,KF2_P0_1_2,KF2_P0_2_2,KF2_Q_1_1,KF2_Q_2_1,KF2_Q_1_2,KF2_Q_2_2,KF2_R,KF3_P0_1_1,KF3_P0_2_1,KF3_P0_1_2,KF3_P0_2_2,KF3_Q_1_1,KF3_Q_2_1,KF3_Q_1_2,KF3_Q_2_2,KF3_R,RMSE_x_est_1_KF1,RMSE_x_est_2_KF1,RMSE_y_est_KF1,RMSE_x_est_1_KF2,RMSE_x_est_2_KF2,RMSE_y_est_KF2,RMSE_x_est_1_KF3,RMSE_x_est_2_KF3,RMSE_y_est_KF3
08-Jun-2022 13:33:18,rod_obs_sim1_3KF_Q_01_11,0,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,5.623e-05,0.01,1000,0,0,1000,0.01,0,0,0.5623,0.01,1000,0,0,1000,0.01,0,0,0.005623,0.01,0.657951934712506,0.302714459753436,0.197385580413752,0.467647042174185,0.300143450793492,0.140294112652256,0.287439886989556,0.184186729440091,0.0862319660968668
08-Jun-2022 13:33:20,rod_obs_sim1_3KF_Q_01_12,0,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,0.00316228,0.01,1000,0,0,1000,0.01,0,0,31.6228,0.01,1000,0,0,1000,0.01,0,0,0.316228,0.01,0.300409856617093,0.189438351203205,0.0901229569851278,0.596372637593788,0.40966033426041,0.178911791278136,0.429500659226354,0.269829890431036,0.128850197767906
08-Jun-2022 13:33:22,rod_obs_sim1_3KF_Q_01_13,0,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,7.499e-05,0.01,1000,0,0,1000,0.01,0,0,0.7499,0.01,1000,0,0,1000,0.01,0,0,0.007499,0.01,0.616664124431876,0.288973250083896,0.184999237329563,0.486122650627479,0.315308205152775,0.145836795188244,0.284728281117421,0.182653516369645,0.0854184843352263
08-Jun-2022 13:33:23,rod_obs_sim1_3KF_Q_01_14,0,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,0.01,0.01,1000,0,0,1000,0.01,0,0,100,0.01,1000,0,0,1000,0.01,0,0,1,0.01,0.284493126632599,0.181959251517109,0.0853479379897799,0.599975138099038,0.412814070390765,0.179992541429712,0.503647491888133,0.329918936513065,0.15109424756644
08-Jun-2022 13:33:25,rod_obs_sim1_3KF_Q_02_01,1,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,1e-06,0.01,1000,0,0,1000,0.01,0,0,0.01,0.01,1000,0,0,1000,0.01,0,0,0.0001,0.01,2.42283878290383,0.980138022656234,0.726851634871148,0.308309411001273,0.208225201234461,0.0924928233003819,0.730955488524948,0.349769600986066,0.219286646557484
08-Jun-2022 13:33:27,rod_obs_sim1_3KF_Q_02_02,1,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,0.0001,0.01,1000,0,0,1000,0.01,0,0,1,0.01,1000,0,0,1000,0.01,0,0,0.01,0.01,0.730955488524948,0.349769600986066,0.219286646557484,0.523198731229262,0.350815946468042,0.156959619368779,0.308309411001273,0.208225201234461,0.0924928233003819
08-Jun-2022 13:33:28,rod_obs_sim1_3KF_Q_02_03,1,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,3.16e-06,0.01,1000,0,0,1000,0.01,0,0,0.0316,0.01,1000,0,0,1000,0.01,0,0,0.000316,0.01,1.8617856761518,0.765892356227911,0.55853570284554,0.321489368692509,0.212332874656633,0.0964468106077529,0.543466277082022,0.287295953883505,0.163039883124606
08-Jun-2022 13:33:30,rod_obs_sim1_3KF_Q_02_04,1,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,0.00013335,0.01,1000,0,0,1000,0.01,0,0,1.3335,0.01,1000,0,0,1000,0.01,0,0,0.013335,0.01,0.677619012785072,0.331676872886458,0.203285703835522,0.540616140088543,0.365060994407415,0.162184842026563,0.307757305027883,0.207506783799204,0.0923271915083651
08-Jun-2022 13:33:31,rod_obs_sim1_3KF_Q_02_05,1,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,1e-05,0.01,1000,0,0,1000,0.01,0,0,0.1,0.01,1000,0,0,1000,0.01,0,0,0.001,0.01,1.36893968266551,0.579869520026842,0.410681904799652,0.370514834428425,0.23867346610264,0.111154450328527,0.415903547279534,0.246277371613369,0.12477106418386
08-Jun-2022 13:33:33,rod_obs_sim1_3KF_Q_02_06,1,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,0.00017783,0.01,1000,0,0,1000,0.01,0,0,1.7783,0.01,1000,0,0,1000,0.01,0,0,0.017783,0.01,0.628748811042187,0.315319751379761,0.188624643312656,0.55632797022478,0.378053731267333,0.166898391067434,0.309856767182143,0.207886571127683,0.0929570301546427
