k,t,U_1,U_2,V,W_1,W_2,X_1,X_2,X_est_1,X_est_2,X_est_3,X_est_4,X_est_5,X_est_6,Y,Y_m,Y_est_1,Y_est_2,Y_est_3,E_obs_1,E_obs_2,E_obs_3,Pd,alpha
10,5,1,0.00789382479546506,0.134671153788312,0,0,-0.0217748996552385,0.0129708098025769,-0.233862419506178,-0.0754260672603614,-0.158353773236481,-0.0321696703157742,-0.168137730912891,-0.0432848425651194,-0.00653246989657154,0.128138683891741,-0.0701587258518532,-0.0475061319709444,-0.0504413192738674,0.0636262559552817,0.0409736620743729,0.0439088493772959,0.0129708098025769,0
11,5.5,1,0.0173209481249236,0.240919079890658,0,-0,0.99772838004391,0.0208646345980419,0.921522671655076,-0.0359874502540599,1.72403995001672,0.456813218460498,1.16472240174667,0.0867942400813798,0.299318514013173,0.540237593903831,0.276456801496523,0.517211985005017,0.349416720524002,0.0228617125166503,-0.217893470991844,-0.0500982065108285,0.0208646345980419,0
12,6,1,-0.000901330025074855,0.215618993743245,0,0,1.71927450062878,0.0381855827229655,1.80929981733184,0.0110484065949189,2.77730534885259,0.520914904011925,2.25013201304459,0.225794001876635,0.515782350188634,0.731401343931879,0.542789945199551,0.833191604655776,0.675039603913376,-0.0270075950109179,-0.317409254467142,-0.159257253724742,0.0381855827229655,0
13,6.5,1,-0.0189470649161285,0.189009313805922,0,0,2.24167773316311,0.0372842526978907,2.41320057800877,0.0416795947365173,2.96254877547758,0.237537933882926,2.90368173986211,0.266848805534759,0.672503319948933,0.861512633754855,0.72396017340263,0.888764632643274,0.871104521958632,-0.0514568534536969,-0.216261312694341,-0.198601202009699,0.0372842526978907,0
14,7,1,-0.0152604306160191,0.137679847483607,-0,-0,2.60645866591207,0.0183371877817622,2.82550032818718,0.0622967410251489,3.17679465890989,0.161670274049474,3.2819321367953,0.259862082951613,0.78193759977362,0.919617447257228,0.847650098456154,0.953038397672966,0.98457964103859,-0.0657124986825334,-0.171100797899345,-0.202642041264969,0.0183371877817622,0
15,7.5,1,0.00406437699633526,-0.0203894988880219,0,-0,2.84285825392021,0.00307675716574303,3.08781047235199,0.0723645416483084,3.22044655790913,0.0686286844092593,3.43873646268666,0.212544336016551,0.852857476176063,0.832467977288041,0.926343141705598,0.966133967372739,1.031620938806,-0.0734856655295354,-0.113276491196676,-0.178763462629934,0.00307675716574303,0
16,8,1,0.00495778096539451,0.0722375319281541,-0,-0,2.99307753490989,0.00714113416207829,3.17358330468914,0.0599897932766741,2.66310929093665,-0.303488087962873,3.2564464524149,0.0674843711291285,0.897923260472967,0.970160792401121,0.952074991406741,0.798932787280994,0.97693393572447,-0.0541517309337736,0.098990473191973,-0.0790106752515028,0.00714113416207829,0
17,8.5,1,-0.00396841564940902,0.0839823762251944,-0,0,3.102295408599,0.0120989151274728,3.2928022768537,0.0622547090524049,3.40594242731328,0.173198708466391,3.33464411505758,0.0625509269841724,0.9306886225797,1.01467099880489,0.987840683056111,1.02178272819398,1.00039323451728,-0.0571520604764111,-0.0910941056142837,-0.0697046119375747,0.0120989151274728,0
18,9,1,0.00123138848309126,-0.047192990536291,-0,0,3.18370570114677,0.00813049947806378,3.383615215664,0.0654691315486476,3.52225189687519,0.15340015099807,3.42284139573933,0.0729506064213737,0.955111710344032,0.907918719807741,1.0150845646992,1.05667556906256,1.0268524187218,-0.0599728543551677,-0.101563858718524,-0.0717407083777658,0.00813049947806378,0
19,9.5,1,0.00146587875131078,0.0268825889641366,0,0,3.2367244902808,0.00936188796115504,3.36972891051136,0.0531124387500968,2.88464961738143,-0.260728518365571,3.25202998783569,-0.0136786614835124,0.971017347084241,0.997899936048378,1.01091867315341,0.865394885214428,0.975608996350706,-0.0399013260691662,0.105622461869814,-0.00459164926646471,0.00936188796115504,0
20,10,1,0.0126040047777591,0.21279708765214,0,0,3.27506903115772,0.0108277667124658,3.40423969836039,0.0516602402394986,3.41262730958187,0.108156280288829,3.30339622925854,0.00255767710627149,0.982520709347316,1.19531779699946,1.02127190950812,1.02378819287456,0.991018868777561,-0.038751200160802,-0.0412674835272463,-0.00849815943024546,0.0108277667124658,0
21,10.5,1,-0.0235360457040794,-0.083604636463094,-0,0,3.30337608852287,0.0234317714902249,3.53594014975161,0.0705256156045874,4.34373822914282,0.585682707263853,3.68753252160791,0.151365517378642,0.991012826556861,0.907408190093766,1.06078204492548,1.30312146874285,1.10625975648237,-0.0697692183686225,-0.312108642185985,-0.115246929925511,0.0234317714902249,0
22,11,1,-0.0172990299237119,0.126855715905749,-0,0,3.33579503345623,-0.000104274213854547,3.45744573092933,0.0543087660639224,2.67289099341933,-0.515955397854605,3.36997561966374,0.00652544219477341,1.00073851003687,1.12759422594262,1.0372337192788,0.8018672980258,1.01099268589912,-0.0364952092419288,0.198871212011069,-0.0102541758622521,-0.000104274213854547,0
23,11.5,1,-0.00177032932220903,0.261261312149461,0,-0,3.33495224920551,-0.0174033041375664,3.52598717967927,0.0636595826418061,3.96299447948187,0.390845599274824,3.57816460854601,0.0914560067297367,1.00048567476165,1.26174698691111,1.05779615390378,1.18889834384456,1.0734493825638,-0.0573104791421299,-0.18841266908291,-0.0729637078021514,-0.0174033041375664,0
24,12,1,-0.0111213011386941,0.0374895433026976,-0,-0,3.31706327030629,-0.0191736334597755,3.64701904551855,0.0843752786274879,4.52455351541447,0.593651129031776,3.93958572865734,0.228608756230994,0.995118981091887,1.03260852439458,1.09410571365556,1.35736605462434,1.1818757185972,-0.0989867325636774,-0.362247073532456,-0.186756737505315,-0.0191736334597755,0
25,12.5,1,0.0132375434343721,0.168931729868136,0,-0,3.30277065575463,-0.0302949345984696,3.60281756084871,0.0782290017815609,3.15769776576051,-0.310451132703366,3.71408737809793,0.119885088978362,0.990831196726388,1.15976292659452,1.08084526825461,0.947309329728154,1.11422621342938,-0.0900140715282238,0.0435218669982339,-0.12339501670299,-0.0302949345984696,0
26,13,1,-0.00543733902807599,0.0826240964856956,-0,0,3.28164452442977,-0.0170573911640975,3.64415695335889,0.086006657764389,3.9486983100844,0.281004829240795,3.80279546416765,0.153053250776844,0.984493357328931,1.06711745381463,1.09324708600767,1.18460949302532,1.1408386392503,-0.108753728678735,-0.200116135696389,-0.156345281921365,-0.0170573911640975,0
27,13.5,1,0.00126789375281878,0.0577754022992847,0,0,3.28009377593674,-0.0224947301921735,3.62244215859681,0.0834625508397309,3.46510313945119,-0.0460847945505622,3.68055842508264,0.0993560021977475,0.984028132781022,1.04180353508031,1.08673264757904,1.03953094183536,1.10416752752479,-0.102704514798021,-0.0555028090543346,-0.120139394743769,-0.0224947301921735,0
28,14,1,-0.00154869329375214,-0.0424884396273963,-0,-0,3.27357091296354,-0.0212268364393547,3.59440077634251,0.0791338343835488,3.39070588660555,-0.0397580538239969,3.56200833636828,0.0539311384379905,0.982071273889063,0.939582834261667,1.07832023290275,1.01721176598167,1.06860250091048,-0.0962489590136899,-0.0351404920926026,-0.0865312270214196,-0.0212268364393547,0
29,14.5,1,0.00617490259582231,0.0465499105641124,-0,0,3.27027280263513,-0.0227755297331069,3.51903271449455,0.0658885212618091,2.95052675528505,-0.255871573022397,3.31203273890257,-0.0400445765559684,0.981081840790538,1.02763175135465,1.05570981434837,0.885158026585516,0.993609821670771,-0.0746279735578279,0.0959238142050223,-0.0125279808802329,-0.0227755297331069,0
30,15,1,-0.00709859714304214,-0.0572649401826823,-0,0,3.26641543211148,-0.0166006271372845,3.51384749953396,0.0632290191126779,3.51280785141958,0.140765316999751,3.34042705266829,-0.0152635857925819,0.979924629633444,0.922659689450762,1.05415424986019,1.05384235542587,1.00212811580049,-0.0742296202267428,-0.0739177257924287,-0.0222034861670414,-0.0166006271372845,0
31,15.5,1,-0.00520280207567061,0.0360145414199611,-0,0,3.26989017534075,-0.0236992242803267,3.45118767666359,0.050859224998036,2.95215756939499,-0.224438054649969,3.1781019641426,-0.0731470261985764,0.980967052602226,1.01698159402219,1.03535630299908,0.885647270818498,0.953430589242781,-0.0543892503968513,0.0953197817837278,0.027536463359445,-0.0236992242803267,0
32,16,1,-0.000611374484506557,-0.0556501761791375,0,-0,3.2652238984582,-0.0289020263559973,3.45669276130331,0.0491409495114045,3.49039413188814,0.141187520122397,3.26742776831994,-0.0268575629883597,0.97956716953746,0.923916993358322,1.03700782839099,1.04711823956644,0.980228330495983,-0.0574406588535333,-0.0675510700289815,-0.000661160958522977,-0.0289020263559973,0
33,16.5,1,-0.00768989799326359,0.0642392430033376,-0,0,3.25675470256474,-0.0295134008405039,3.40743105101904,0.0386198570050321,2.97628983989678,-0.201796136843295,3.15764205820468,-0.0678737763086583,0.977026410769423,1.04126565377276,1.02222931530571,0.892886951969033,0.947292617461405,-0.0452029045362883,0.0841394588003892,0.0297337933080177,-0.0295134008405039,0
34,17,1,0.00551655908457274,-0.14307200000316,-0,0,3.25021489095482,-0.0372032988337675,3.43413588470268,0.0403829520805942,3.61406691640994,0.211279796451204,3.31386235294164,0.000574573519720484,0.975064467286445,0.831992467283285,1.0302407654108,1.08422007492298,0.994158705882492,-0.0551762981243595,-0.109155607636537,-0.0190942385960473,-0.0372032988337675,0
35,17.5,1,0.00103212053085014,0.121444935600397,0,-0,3.2379471248346,-0.0316867397491947,3.3370442841969,0.0220927353728122,2.49602425501123,-0.490904231053137,3.02452173859109,-0.11754453666007,0.971384137450381,1.09282907305078,1.00111328525907,0.748807276503368,0.907356521577326,-0.0297291478086881,0.222576860947013,0.0640276158730546,-0.0316867397491947,0
36,18,1,0.00617706635437226,0.0907639111778628,-0,0,3.23487624763503,-0.0306546192183446,3.40756092290657,0.0305259742749547,3.95455015559707,0.466828401427019,3.33788288463813,0.0175504925646276,0.970462874290508,1.06122678546837,1.02226827687197,1.18636504667912,1.00136486539144,-0.0518054025814622,-0.215902172388614,-0.0309019911009322,-0.0306546192183446,0
37,18.5,1,-0.00132442926871052,-0.195538070976522,0,0,3.23375875412617,-0.0244775528639723,3.43683413767053,0.0340977783499747,3.61727801070287,0.118452230102521,3.46324383116212,0.0611528896740296,0.970127626237852,0.77458955526133,1.03105024130116,1.08518340321086,1.03897314934864,-0.0609226150633068,-0.115055776973009,-0.068845523110784,-0.0244775528639723,0
38,19,1,-0.0103722560908073,-0.197389828413086,-0,0,3.23915357502435,-0.0258019821326828,3.30168967579607,0.0106441854685955,2.1173239528228,-0.746219330287555,3.00324452880897,-0.131419591191785,0.971746072507305,0.774356244094219,0.99050690273882,0.635197185846841,0.900973358642692,-0.0187608302315151,0.336548886660464,0.0707727138646127,-0.0258019821326828,0
39,19.5,1,-0.0103942782699823,0.235287196897504,0,0,3.24160552038436,-0.0361742382234901,3.205466124321,-0.00907978387864877,2.42285553349305,-0.35881024014767,2.73992908436789,-0.223645328393235,0.972481656115308,1.20776885301281,0.961639837296301,0.726856660047915,0.821978725310366,0.0108418188190069,0.245624996067393,0.150502930804942,-0.0361742382234901,0
40,20,1,-0.00955347373144923,0.0778551388556691,-0,0,3.23294962604556,-0.0465685164934724,3.36713688767524,0.0133371513450886,4.71117506183532,0.980015686530501,3.39790358447231,0.0573575917829176,0.969884887813669,1.04774002666934,1.01014106630257,1.41335251855059,1.01937107534169,-0.0402561784889022,-0.443467630736926,-0.0494861875280252,-0.0465685164934724,0
41,20.5,1,0.0103670333875567,-0.0914730239306195,-0,-0,3.21649622173842,-0.0561219902249217,3.39054270630254,0.0167559584219531,3.47301999786542,-0.0378239324449505,3.48762899129431,0.0780210499509078,0.964948866521526,0.873475842590907,1.01716281189076,1.04190599935962,1.04628869738829,-0.0522139453692364,-0.0769571328380981,-0.081339830866766,-0.0561219902249217,0
