Time,test,seed,t_stop,Ts,nT,nu,ny,n,params_A_1_1,params_A_2_1,params_A_1_2,params_A_2_2,params_B_1_1,params_B_2_1,params_B_1_2,params_B_2_2,params_C_1,params_C_2,params_D_1,params_D_2,obs_1,obs_2,obs_3,epsilon,sigma_M,sigma_wp_1,sigma_wp_2,KF1_P0_1_1,KF1_P0_2_1,KF1_P0_1_2,KF1_P0_2_2,KF1_Q_1_1,KF1_Q_2_1,KF1_Q_1_2,KF1_Q_2_2,KF1_R,KF2_P0_1_1,KF2_P0_2_1,KF2_P0_1_2,KF2_P0_2_2,KF2_Q_1_1,KF2_Q_2_1,KF2_Q_1_2,KF2_Q_2_2,KF2_R,KF3_P0_1_1,KF3_P0_2_1,KF3_P0_1_2,KF3_P0_2_2,KF3_Q_1_1,KF3_Q_2_1,KF3_Q_1_2,KF3_Q_2_2,KF3_R,MSE_x_est_1_KF1,MSE_x_est_2_KF1,MSE_x_est_1_KF2,MSE_x_est_2_KF2,MSE_x_est_1_KF3,MSE_x_est_2_KF3
13-Feb-2022 21:12:20,4,0,1000,0.5,2000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,0.0001,0.01,1000,0,0,1000,0.01,0,0,1,0.01,1000,0,0,1000,0.01,0,0,0.01,0.01,0.378414761766121,0.260536864015001,0.0816518438831483,0.0855857444608548,0.111842013976976,0.0324015707732995
14-Feb-2022 09:36:55,4,2,300,0.5,600,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,0.0001,0.01,1000,0,0,1000,0.01,0,0,1,0.01,1000,0,0,1000,0.01,0,0,0.01,0.01,0.787857999738192,0.281256551488421,0.114763979348579,0.179920064807905,0.134309220822245,0.0570963180691647
